Product,Description,Search Tags,Number of Reviews
[JM Solution]  Lacto Saccharomyces Golden Rice Cleansing Foam 150ml,"Cleansing foam based on lactobacilli and fermented components, provides a gentle exfoliating effect, delicately removing dead cells, excess sebum and other impurities from the epidermis surface, saturates the skin with nutrients, brightens and evens out microrelief, gives the skin a natural internal radiance. 
The product has a dense creamy texture, which, when it comes into contact with water, forms a thick foam, and, due to the content of walnut shell powder, delicately exfoliates the skin, making the epidermis surface smooth and silky. Does not make you feel tight or dry after washing.
The fermented components of the product are able to penetrate much deeper into the skin cells and be better absorbed, since the fermentation process reduces the size of the molecules, and also naturally enhances their effect.","['aloe cleansing', 'green tea cleansing', 'snail cleanser', 'foam cleanser', 'anti trouble', 'Clean balm', 'olive oil', 'blackhead', 'peeling gel', 'scrub foam', 'soap', 'bright cleansing']",0
[Tiam]  Snail & Azulene Low pH Cleanser 200ml,"-A gel cleanser that has a unique purple color of Azulene extracted from chamomile and dense viscosity of Snail.
-After cleansing, it leaves your skin feeling moist without leaving it feeling tight or dry.
-Coconut derived surfactants effectively remove dirt, oil, pollutants without causing skin damage and Snail Azulene protect and moisturize the skin.","['aloe cleansing', 'green tea cleansing', 'snail cleanser', 'foam cleanser', 'anti trouble', 'Clean balm', 'olive oil', 'blackhead', 'peeling gel', 'scrub foam', 'soap', 'bright cleansing']",0
[Tiam]  Blackhead Perfect Clean Ball,"-A pore cleansing ball made from natural silk, which removes blackheads, whiteheads, and dead skin cells deeply clogged in the pores for a smooth and soft touch of skin.
-The silk balls are soaked into a peeling solution that formulated with sericin and natural oils, gently exfoliating your skin without causing irritation.
-Easy to hold with a fingertip for the perfect peeling result.","['aloe cleansing', 'green tea cleansing', 'snail cleanser', 'foam cleanser', 'anti trouble', 'Clean balm', 'olive oil', 'blackhead', 'peeling gel', 'scrub foam', 'soap', 'bright cleansing']",0
[Mamonde] Pore Clean Blackhead Stick,"1.Eoseongcho tincture prepares excess sebum and effectively converges pores
2.West coast mud powder strongly absorbs impurities and sebum in pores
3.Eoseongcho leaf scrub cleanly removes blackheads, whiteheads and dead skin cells",None,0
[Cell Fusion C]  Sun Clear Cleansing Foam 150ml,"-Deeply cleanses into skin and removes makeup as well as sunscreen 
-Helps remove dead skin cells, eliminate clogged pores, and make your skin smoother 
-Charcoal extract that helps in cleansing skin","['aloe cleansing', 'green tea cleansing', 'snail cleanser', 'foam cleanser', 'anti trouble', 'Clean balm', 'olive oil', 'blackhead', 'peeling gel', 'scrub foam', 'soap', 'bright cleansing']",0
[Neogen]  Calming Cicatree Micellar Cleansing Oil 300ml,"-Oil type of cleanser that moisturizes, calms, and cleanses skin
-Gently cleansing skin with supreme, purified results","['aloe cleansing', 'green tea cleansing', 'snail cleanser', 'foam cleanser', 'anti trouble', 'Clean balm', 'olive oil', 'blackhead', 'peeling gel', 'scrub foam', 'soap', 'bright cleansing']",0
[Neogen]  Calming Cicatree Micellar Cleansing Water 400ml,"-Helps clean your face from makeup and improves overall skin health 
-Cleansing skin with a soothing effect and for boosting skin radiance","['aloe cleansing', 'green tea cleansing', 'snail cleanser', 'foam cleanser', 'anti trouble', 'Clean balm', 'olive oil', 'blackhead', 'peeling gel', 'scrub foam', 'soap', 'bright cleansing']",0
[Neogen]  Calming Cicatree Micellar Cleansing Foam 200ml,"-Gentle cleaning power of rich and soft microbubbles
-pH balance care 
-Deeply cleanses the skin and improving its health in the process","['aloe cleansing', 'green tea cleansing', 'snail cleanser', 'foam cleanser', 'anti trouble', 'Clean balm', 'olive oil', 'blackhead', 'peeling gel', 'scrub foam', 'soap', 'bright cleansing']",0
[Neogen]  *renewal*  Carrot Deep Clear Remover Oil Pad (60ea),"-Embossed side that thoroughly wipes away skin waste, excess sebum, makeup residue, and dead skin cells 
-Moisturize and rejuvenate skin 
-Lightweight oil formulation that does not feel heavy or sticky on the skin","['aloe cleansing', 'green tea cleansing', 'snail cleanser', 'foam cleanser', 'anti trouble', 'Clean balm', 'olive oil', 'blackhead', 'peeling gel', 'scrub foam', 'soap', 'bright cleansing']",0
[Anua]  Heartleaf Gentle Facial Cleanser 120ml,"-A moisturizing foam cleanser formulated with 90% Houttuynia Cordata Extract that helps soothe sensitive skin and protect the skin from external irritations.
-Delivers gentle yet thorough cleansing of makeup and skin impurities.
-The sub-acidic formula with 90% of naturally-derived ingredients that keep the skin hydrated after cleansing.","['aloe cleansing', 'green tea cleansing', 'snail cleanser', 'foam cleanser', 'anti trouble', 'Clean balm', 'olive oil', 'blackhead', 'peeling gel', 'scrub foam', 'soap', 'bright cleansing']",0
